Driver Manufr. | Inf | Comment
--- | --- | ---
Geforce | nv_dispi.inf | //
Quadro | nv_dispwi.inf | //
Toshiba OEM | nvts.inf | //
WISTRON (AOpen, Compaq, HP, Medion, NEC) | NVWI.INF | ODM/OEM
HP | NVWH.INF | // 
Helpjet | NVVD.INF | // 
UNIWILL | NVUW.INF | Alienware, ARM Computer, Brick Computers, Fujitsu, Gericom, HugeBee, Hyperdata, Jewel, PC Club, PCLaptops, Packard Bell, TTX, Systemax
TWINHEAD | NVTW.INF | Hi-Grade, Gericom (ODM/OEM)
MSI Multimedia Beyond 3D | NVTQ.INF | //
?? | NVTQ.INF | //
?? | NVTM.INF | //
?? | NVTL.INF | //
Sony mobile | NVSZ.INF | //
Sony Desktop/Workstation | NVSY.INF | //
Sony mobile | NVSU.INF | //
Sony Desktop/Workstation | NVSP.INF | //
SAMSUNG mobile | NVSM.INF | //
SONY Desktop/Workstation | NVSI.INF | //
SHARP | NVSH.INF | SHARP - SUBSYS 103D13BD & 103013BD 
?? | NVSD.INF | //
QUANTA | NVQU.INF | ODM sold by ACER, BenQ, vprMatrix, SABIO, AHTEC
QUANTA | NVQO.INF | ODM sold by TOSHiBA
QUANTA | NVQN.INF | //
Compaq, HP | NVQH.INF | //
QUANTA | NVQA.INF | ODM sold by ACER
ACER | NVAC.INF | //
?? | NVAD.INF | //
?? | NVAH.INF | //
?? | NVAI.INF | //
ASUS | NVAM.INF | ASUS Mobile or Manufactured (e.g. MAXDATA)
?? | NVAN.INF | //
APPLE Mobile (MacBook Pro) | NVAO.INF | //
APPLE Desktop | NVAP.INF | //
ARIMA | NVAR.INF | ODM/OEM - Alienware, Medion
?? | NVAT.INF | //
ALIENWARE | NVAW.INF | //
Compaq/HP mobile Quadro Workstation | NVBL.INF | //
ACER, Compaq, HP Desktop/Quadros | NVCA.INF | //
Chembook | NVCH.INF | //
?? | NVCN.INF | //
COMPAL (TOSHiBA only) | NVCO.INF | //
COMPAL TOSHiBA (TOSHiBA only) | NVCP.INF | //
COMPAL TOSHiBA (ODM/OEM) | NVCT.INF | Gericom, Olidata, PowerPro, Zepto, ProStar and Sager
Creative | NVCU.INF | //
CLEVO / KAPOK | NVCV.INF | ODM/OEM for example Alienware, EUROCOM, SAGER etc.
DELL Desktop (DXP051, DM051) | NVDD.INF | //
DELL Mobile | NVDM.INF | //
DELL Desktop Quadro | NVDN.INF | DEV_0241=6150LE
DELL | NVDP.INF | //
DELL Workstation | NVDW.INF | //
ECS | NVEC.INF | //
FUJITSU SiEMENS | NVFI.INF | //
?? | NVFL.INF | //
FUJITSU Mobile | NVFM.INF | //
FUJITSU SIEMENS Desktop/Workstation | NVFS.INF | //
?? | NVFU.INF | //
?? | NVFW.INF | //
?? | NVGA.INF | //
GATEWAY Mobile/Laptop | NVGM.INF | //
GATEWAY | NVGW.INF | //
Compaq, HP | NVHB.INF | //
Compaq, HP Desktop/Quadro | NVHC.INF | //
?? | NVHL.INF | //
Compaq, HP | NVHM.INF | //
HP Media Center | NVHP.INF | Asus?
?? | NVHT.INF | Found in Vista ?
?? | NVHW.INF| Quadro related OEM like HP Workstation? 
?? | NVHY.INF | //
IBM | NVIB.INF | //
?? | NVIH.INF | //
?? | NVIL.INF | //
?? | NVIM.INF | //
IBM | NVIO.INF | //
ACER, TOSHiBA, ZEPTO | NVIV.INF | //
IBM Workstations | NVIW.INF | Desktop PC)
?? | NVLE.INF | //
LG | NVLG.INF | //
VISTA WDDM drivers | NVLH.INF | //
Leadtek Mobile | NVLM.INF //
LG | NVLO.INF | //
Lenovo | NVLT.INF | //
MSI | NVMI.INF | //
MEDiON, FIC | NVMM.INF | //
MEDiON | NVMO.INF | //
MiTAC | NVMT.INF | ODM - Gericom, Hi-Grade, Issam, SHARP, NEC/PACKARD-BELL
?? | NVMV.INF | //
DELL | NVMW.INF | Mobile Workstation
?? | NVMY.INF | //
GF2 MX integrated | NVNJ.INF | //
NV Business Platform | NVNS.INF | //
PACKARD BELL/NEC | NVPB.INF | //
